ID;Name;Club;CA;Age;Nati;Position;Division
22700;Joyce Mazila;QRM;60;18;FRA;D (C);Ligue 2 BKT
22701;Nadir Mokhtari;QRM;60;18;FRA;AM (L), ST (C);Ligue 2 BKT
22702;Hamza Djelti;QRM;60;18;FRA;M (R), AM (RL);Ligue 2 BKT
22704;Théo Binon;Troyes;63;16;FRA;AM (RC);Ligue 2 BKT
22705;Abdessalem Khelifi;QRM;60;17;FRA;D (C), DM;Ligue 2 BKT
22706;Loan Godard;QRM;60;17;FRA;D (C), DM;Ligue 2 BKT
22708;Souareba Guirassy;QRM;60;17;FRA;M/AM (C);Ligue 2 BKT
22709;Abderraouf Guechi;ASSE;60;17;FRA;AM (L), ST (C);Ligue 2 BKT
22711;Lubin Gonnet Leard;ASSE;60;17;FRA;GK;Ligue 2 BKT
22712;Ewan Hornech;ASSE;60;17;FRA;D (L);Ligue 2 BKT
22713;Anis Didon;Rodez AF;60;18;FRA;ST (C);Ligue 2 BKT
22714;Ilyann Khellouf;Rodez AF;60;17;FRA;ST (C);Ligue 2 BKT
22715;Anis Fatahine;Paris FC;60;18;FRA;D (L);Ligue 2 BKT
22716;Yanis Mimoun;ASSE;60;17;FRA;M/AM (C);Ligue 2 BKT
22717;Arthur Saintorens;Rodez AF;63;18;FRA;ST (C);Ligue 2 BKT
22718;Antoine Caubet;Rodez AF;62;18;FRA;DM, M (C);Ligue 2 BKT
22719;Théo Lefebvre;Angers SCO;75;18;FRA;D (C), DM;Ligue 2 BKT
22720;Théo Martinez;Rodez AF;60;18;FRA;D (L);Ligue 2 BKT
22721;Malouan Bompais;EA Guingamp;65;17;FRA;D (C), DM, M (C);Ligue 2 BKT
22722;William Koffi;Rodez AF;60;16;FRA;ST (C);Ligue 2 BKT
22723;Mohamed Hmamouch;Angers SCO;75;16;FRA;M/AM (R);Ligue 2 BKT
22724;Nathan Couderc;QRM;60;18;FRA;D/WB/M (L);Ligue 2 BKT
22725;Gaëtan Accard;QRM;60;16;FRA;GK;Ligue 2 BKT
22726;Rayan Chibek;QRM;60;16;FRA;D/WB (R);Ligue 2 BKT
22727;Maxime Renoir;Rodez AF;62;17;FRA;M (C);Ligue 2 BKT
22728;Jérémy Bulaba;QRM;60;16;FRA;D (L);Ligue 2 BKT
22729;Adam Id Baih;QRM;60;16;FRA;D/WB (L);Ligue 2 BKT
22730;Tom Dumont;QRM;60;16;FRA;DM, M (C);Ligue 2 BKT
22731;Enzo Aubele;QRM;60;16;FRA;DM, M (C);Ligue 2 BKT
22732;Nassim Khamlichi;QRM;60;16;FRA;M (C);Ligue 2 BKT
22733;Isaiah Girardin;Rodez AF;60;17;FRA;ST (C);Ligue 2 BKT
22734;Ilyes Maali;QRM;60;16;FRA;D (C), DM, M (C);Ligue 2 BKT
22735;Marwane Es Saddicky;QRM;60;16;FRA;M (C);Ligue 2 BKT
22736;Johanes Ravary;QRM;60;16;FRA;D (C), DM, M (C);Ligue 2 BKT
22737;Philippe Nkouka;Dunkerque;60;18;FRA;D (C);Ligue 2 BKT
22738;Ilan Petitjean;QRM;60;16;FRA;ST (C);Ligue 2 BKT
22739;Rohan Alain;Bordeaux;60;18;FRA;D (RC), WB/M (R);Ligue 2 BKT
22740;Cameron Constant;Bordeaux;60;18;FRA;D (LC);Ligue 2 BKT
22741;Nathan Moineau;Bordeaux;60;16;FRA;AM (L), ST (C);Ligue 2 BKT
22742;Ilias Miraoui;SM Caen;62;18;FRA;ST (C);Ligue 2 BKT
22743;Adama Timera;SM Caen;60;18;FRA;D (C);Ligue 2 BKT
22744;Abdelrani Lakhlifa;Dunkerque;60;18;FRA;D (C), DM, M (C);Ligue 2 BKT
22745;Nathanaël Lituka;Dunkerque;61;17;FRA;D (C);Ligue 2 BKT
22746;Kaïs Chedli;Dunkerque;60;17;FRA;M (C);Ligue 2 BKT
22747;Gueladan Doué;Dunkerque;62;17;FRA;M (C);Ligue 2 BKT
22748;Maxence Bossard;EA Guingamp;62;17;FRA;D (C);Ligue 2 BKT
22749;Eladjy Breleur;Troyes;62;15;FRA;D (C);Ligue 2 BKT
22751;Nolan Gourdon;VAFC;60;18;FRA;GK;Ligue 2 BKT
22752;Enzo Taurin;QRM;60;16;FRA;D (RC);Ligue 2 BKT
22753;Gianni Schtickzelle;VAFC;61;16;FRA;M (C);Ligue 2 BKT
22754;Adam Laoine;VAFC;61;16;FRA;D (C);Ligue 2 BKT
22755;Mathis Renault;QRM;60;16;FRA;D (LC);Ligue 2 BKT
22757;Soufyene Ajgou;QRM;60;17;FRA;M/AM (C);Ligue 2 BKT
22758;Florian Essombé;QRM;60;17;FRA;D (L);Ligue 2 BKT
22759;Ousmane Dramé;QRM;60;17;FRA;D (RL);Ligue 2 BKT
22763;Kyliann Fofana;EA Guingamp;70;17;FRA;ST (C);Ligue 2 BKT
22764;Ryan Rodin;AJ Auxerre;74;17;FRA;ST (C);Ligue 2 BKT
22765;Timothé Viel;AC Ajaccio;70;17;FRA;GK;Ligue 2 BKT
22766;Lucas Boulmot;AJ Auxerre;73;18;FRA;D (C);Ligue 2 BKT
22768;Tim Lacote;Dunkerque;57;16;FRA;GK;Ligue 2 BKT
22769;Maxime Tran;EA Guingamp;64;17;FRA;D (R);Ligue 2 BKT
22770;Maël Biczo;Amiens SC;65;17;FRA;GK;Ligue 2 BKT
22771;Arthur Sergent;EA Guingamp;65;18;FRA;D (L);Ligue 2 BKT
22772;Jean Elie Louison;EA Guingamp;65;18;FRA;AM (RL);Ligue 2 BKT
22773;Nathan Fondja;EA Guingamp;65;17;FRA;D (C);Ligue 2 BKT
22774;Jordy Mayasi Ndosimao;Troyes;59;16;FRA;GK;Ligue 2 BKT
22775;Aleks Zeković;Angers SCO;70;16;FRA;DM, M (C);Ligue 2 BKT
22776;Coleen Louis;Paris FC;67;18;FRA;D/WB/M/AM (L);Ligue 2 BKT
22777;Bourhane Conte;Angers SCO;76;18;FRA;DM, M (C);Ligue 2 BKT
22778;Loick Boana;Angers SCO;77;18;FRA;M/AM (R), ST (C);Ligue 2 BKT
22779;Lucas Vovard;SM Caen;50;17;FRA;GK;Ligue 2 BKT
22780;Antonin Moisdon;Angers SCO;73;18;FRA;D (C);Ligue 2 BKT
22781;Adam Daoudi;Bordeaux;55;16;FRA;D (C);Ligue 2 BKT
22782;Hugo Capblanne;Bordeaux;55;16;FRA;D (LC);Ligue 2 BKT
22783;Enzo Sautereau;Angers SCO;68;17;FRA;GK;Ligue 2 BKT
22784;Jean Grillot;Bordeaux;55;17;FRA;D (C);Ligue 2 BKT
22785;Gabin Tomé;SM Caen;55;19;FRA;M/AM (C);Ligue 2 BKT
22786;Adam Amourat;SM Caen;50;17;FRA;M (C);Ligue 2 BKT
22787;Noah Ramon;Bordeaux;52;18;FRA;ST (C);Ligue 2 BKT
22788;Brady Gouandjia;Angers SCO;70;16;FRA;M/AM (C);Ligue 2 BKT
22789;Oumar Pona;Angers SCO;67;17;FRA;GK;Ligue 2 BKT
22790;Moussa Sissoko;ASSE;55;17;FRA;D (C);Ligue 2 BKT
22791;Esteban Fernandes;ASSE;55;17;FRA;D (C), DM, M (C);Ligue 2 BKT
22792;Prince N'Geleka;ASSE;55;17;FRA;M (C);Ligue 2 BKT
22793;Keviriel Massoumou;EA Guingamp;65;16;FRA;M/AM (L);Ligue 2 BKT
22794;Maxime Perard;ASSE;55;17;FRA;ST (C);Ligue 2 BKT
22795;Landry Kitenge;EA Guingamp;73;17;FRA;AM (RL);Ligue 2 BKT
22796;Amine Moussaoui;Angers SCO;68;16;FRA;M/AM (L);Ligue 2 BKT
22797;Prosper Peter;Angers SCO;67;15;FRA;ST (C);Ligue 2 BKT
22798;Fils-Whissy Ndong Bibang;Bordeaux;50;17;FRA;M (C);Ligue 2 BKT
22799;Rodrigue Nsingi Malongi;Angers SCO;65;16;FRA;AM (R), ST (C);Ligue 2 BKT
22800;Ahmed Bouchoukh;EA Guingamp;64;15;FRA;D (C), DM, M (C);Ligue 2 BKT
22801;François-Xavier Merlo-Ursule;Amiens SC;59;17;FRA;M (C);Ligue 2 BKT
22802;Ibrahima Diakité;EA Guingamp;65;16;FRA;ST (C);Ligue 2 BKT
22803;Laurent Mallet;EA Guingamp;66;16;FRA;D (L);Ligue 2 BKT
22804;Jean-Yves Djegou;EA Guingamp;65;15;FRA;ST (C);Ligue 2 BKT
22805;Ewan Aucan;EA Guingamp;65;16;FRA;AM (RL);Ligue 2 BKT
22806;Ewen Lebarbier;EA Guingamp;60;17;FRA;DM, M (C);Ligue 2 BKT
22809;Brayane Ondongo;Angers SCO;60;16;FRA;D/WB (R);Ligue 2 BKT
22810;Hamza Jelouali;EA Guingamp;59;16;FRA;M (C);Ligue 2 BKT
22811;Iheb Dams;Grenoble;55;18;FRA;GK;Ligue 2 BKT
22812;Heliodino Tavares;SM Caen;55;18;FRA;D (C);Ligue 2 BKT
22813;Abdoulaye Niakaté;SM Caen;55;18;FRA;AM (R);Ligue 2 BKT
22814;Néville Niamké;AJ Auxerre;55;18;FRA;D (C);Ligue 2 BKT
22815;Mustapha Azenked;EA Guingamp;62;16;FRA;WB/M/AM (R);Ligue 2 BKT
22816;Albert Masson;EA Guingamp;65;16;FRA;GK;Ligue 2 BKT
22817;Adel Sebihi;EA Guingamp;62;16;FRA;DM, M (C);Ligue 2 BKT
22818;Kenan Sehic;EA Guingamp;64;17;FRA;GK;Ligue 2 BKT
22819;Mamadou Diawara;EA Guingamp;63;16;FRA;AM (C);Ligue 2 BKT
22820;Wisler Lazarre;EA Guingamp;62;16;FRA;AM (C);Ligue 2 BKT
22821;Nathan Le Roux;EA Guingamp;63;16;FRA;ST (C);Ligue 2 BKT
21963;Gabriel Barès;Concarneau;104;22;SUI;DM, M (C);Ligue 2 BKT
21966;Josias Lukembila;Paris FC;111;23;SUI;AM (L), ST (C);Ligue 2 BKT
21946;Tuomas Ollila;Paris FC;105;23;FIN;D/WB/M (L);Ligue 2 BKT
21826;Karl-Johan Johnsson;Bordeaux;114;33;SWE;GK;Ligue 2 BKT
22056;Sebastian Ring;Amiens SC;107;28;SWE;D/WB (L);Ligue 2 BKT
22191;Rafał Strączek;Bordeaux;109;24;POL;GK;Ligue 2 BKT
21874;Ado Onaiwu;AJ Auxerre;117;27;JPN;AM (L), ST (C);Ligue 2 BKT
21918;Baptiste Guillaume;EA Guingamp;114;28;BEL;AM (R), ST (C);Ligue 2 BKT
21945;Dante Rigo;Grenoble;111;24;BEL;DM, M (C);Ligue 2 BKT
22248;Corentin Michel;Troyes;94;23;BEL;GK;Ligue 2 BKT
22333;Rafael Celsi;Paris FC;75;16;BEL;GK;Ligue 2 BKT
21855;Ivan Filipović;Paris FC;115;28;CRO;GK;Ligue 2 BKT
21972;Ante Palaversa;Troyes;111;23;CRO;DM, M (C);Ligue 2 BKT
21823;Andy Carroll;Amiens SC;114;34;ENG;ST (C);Ligue 2 BKT
21844;Etienne Green;ASSE;116;22;ENG;GK;Ligue 2 BKT
21977;Osaze Urhoghide;Amiens SC;105;22;ENG;D (C);Ligue 2 BKT
22046;Taylor Moore;VAFC;101;26;ENG;D (RC);Ligue 2 BKT
21971;Andreas Bruus;Troyes;120;24;DEN;D/WB/M/AM (R);Ligue 2 BKT
22092;David Kruse;VAFC;107;21;DEN;M/AM (C);Ligue 2 BKT
21818;Elisha Owusu;AJ Auxerre;121;25;GHA;DM, M (C);Ligue 2 BKT
21820;Gideon Mensah;AJ Auxerre;123;24;GHA;D/WB (L);Ligue 2 BKT
21839;Nicholas Opoku;Amiens SC;120;25;GHA;D (C);Ligue 2 BKT
21999;Emmanuel Ntim;Troyes;108;27;GHA;D (RC), WB (R);Ligue 2 BKT
21851;Jubal;AJ Auxerre;121;29;BRA;D (C);Ligue 2 BKT
21944;Flamarion;VAFC;115;26;BRA;AM (RC), ST (C);Ligue 2 BKT
21834;Zuriko Davitashvili;Bordeaux;118;22;GEO;M/AM (RL);Ligue 2 BKT
22644;Fernando Peláez;AC Ajaccio;61;16;PAR;ST (C);Ligue 2 BKT
21909;Luka Ilić;Troyes;115;24;SRB;M (C), AM (RLC);Ligue 2 BKT
22001;Johann Obiang;Pau FC;110;29;GAB;D/WB/M (L);Ligue 2 BKT
22182;Ulrick Enémé Ella;Angers SCO;96;22;GAB;AM (C), ST (C);Ligue 2 BKT
22239;Alan Do Marcolino;QRM;90;21;GAB;ST (C);Ligue 2 BKT
22566;Philippe Ndinga;Dunkerque;65;18;GAB;D (C);Ligue 2 BKT
21829;Žan Vipotnik;Bordeaux;120;21;SVN;ST (C);Ligue 2 BKT
21833;Lucas Woudenberg;VAFC;106;29;NED;D (LC), WB (L);Ligue 2 BKT
21859;Nick Venema;VAFC;106;24;NED;ST (C);Ligue 2 BKT
21975;Eros Maddy;AJ Auxerre;104;22;NED;M/AM (RL);Ligue 2 BKT
21811;Gaël Kakuta;Amiens SC;128;32;COD;AM (RLC), ST (C);Ligue 2 BKT
21819;Dylan Batubinsika;ASSE;121;27;COD;D (C);Ligue 2 BKT
21895;Vital N'Simba;Bordeaux;120;29;COD;D/WB (L);Ligue 2 BKT
21947;Parfait Mandanda;SM Caen;98;33;COD;GK;Ligue 2 BKT
22088;Lionel M'pasi;Rodez AF;109;28;COD;GK;Ligue 2 BKT
22156;Glody Lilepo Makabi;VAFC;104;25;COD;AM (R), ST (C);Ligue 2 BKT
22581;Isaac Luifuku;SM Caen;64;17;COD;ST (C);Ligue 2 BKT
21825;Frank Boya;Amiens SC;110;27;CMR;D (C), DM, M (C);Ligue 2 BKT
21986;Malcom Bokélé;Bordeaux;110;23;CMR;D (RC);Ligue 2 BKT
22134;Wilitty Younoussa;Rodez AF;105;21;CMR;DM, M (C);Ligue 2 BKT
22135;Ahmad Ngouyamsa;Rodez AF;107;22;CMR;D/WB (R);Ligue 2 BKT
22141;Moïse Mahop;FC Annecy;102;23;CMR;D/WB/M (L);Ligue 2 BKT
22242;François-Régis Mughe;Dunkerque;86;19;CMR;M/AM (R);Ligue 2 BKT
22270;Siddick Aboubakar;AJ Auxerre;80;18;CMR;D (C);Ligue 2 BKT
22275;Alexandre Fressange;Paris FC;88;22;CMR;AM (R), ST (C);Ligue 2 BKT
22280;Jean-Eric Moursou;VAFC;83;18;CMR;DM, M (C);Ligue 2 BKT
22282;Danel Dongmo;Troyes;78;22;CMR;M (C);Ligue 2 BKT
22341;Dimitri Manyim;Bordeaux;72;18;CMR;M (C);Ligue 2 BKT
22368;Rayan Mandengue;AJ Auxerre;75;17;CMR;AM (L), ST (C);Ligue 2 BKT
22527;Célestin Nyemb;VAFC;67;17;CMR;ST (C);Ligue 2 BKT
22703;Ruddy Dore;QRM;60;18;CMR;D (C), DM;Ligue 2 BKT
21828;Abdu Conté;Troyes;123;25;POR;D/WB (L);Ligue 2 BKT
21882;Yohan Tavares;Laval MFC;113;35;POR;D (C);Ligue 2 BKT
22324;Edson Ceita;VAFC;78;22;POR;D (R), AM (RL);Ligue 2 BKT
22347;Victor Lebas;AC Ajaccio;73;18;POR;D/WB (L);Ligue 2 BKT
22365;Ricardo Silva;AC Ajaccio;73;17;POR;M (C);Ligue 2 BKT
22395;Mamadu Silla;AC Ajaccio;70;16;POR;ST (C);Ligue 2 BKT
22513;Ugo Coelho;SC Bastia;64;18;POR;M (C);Ligue 2 BKT
22596;Gonçalo Sobral;Bordeaux;65;17;POR;GK;Ligue 2 BKT
22807;Flávio Gonçalves;Amiens SC;55;15;POR;D (C);Ligue 2 BKT
22129;Danylo Ignatenko;Bordeaux;118;26;UKR;DM, M (RC);Ligue 2 BKT
22767;Vitaliy Osminkin;SC Bastia;58;18;UKR;GK;Ligue 2 BKT
22187;Ángel Orelien;Dunkerque;95;22;PAN;AM (RL), ST (C);Ligue 2 BKT
22138;Mathias Oyewusi;VAFC;105;24;NGA;ST (C);Ligue 2 BKT
22362;Abdul Adisa;QRM;75;17;NGA;AM (R), ST (C);Ligue 2 BKT
21992;Al Hassan Touré;AC Ajaccio;97;23;AUS;AM (RL), ST (C);Ligue 2 BKT
22243;Mohamed Touré;Paris FC;90;19;AUS;AM (L);Ligue 2 BKT
21814;Lebogang Phiri;EA Guingamp;105;28;RSA;DM, M (C);Ligue 2 BKT
21841;Alexi Pitu;Bordeaux;111;21;ROU;AM (RL);Ligue 2 BKT
22012;Johny Placide;SC Bastia;110;35;HAI;GK;Ligue 2 BKT
22281;Isaac Rouaud;EA Guingamp;72;25;HAI;GK;Ligue 2 BKT
21868;Hamza Sakhi;AC Ajaccio;123;27;MAR;M/AM (C);Ligue 2 BKT
21876;Sofiane Alakouch;Paris FC;108;24;MAR;D (RL), WB (R);Ligue 2 BKT
21933;Benjamin Bouchouari;ASSE;113;21;MAR;M/AM (C);Ligue 2 BKT
21987;Amine El Ouazzani;EA Guingamp;116;21;MAR;AM (R), ST (C);Ligue 2 BKT
21996;Mathys Tourraine;Grenoble;112;22;MAR;D/WB (R);Ligue 2 BKT
22019;Yanis Begraoui;Pau FC;107;21;MAR;ST (C);Ligue 2 BKT
22024;Saad Agouzoul;AJ Auxerre;110;25;MAR;D (C);Ligue 2 BKT
22050;Khalid Boutaïb;Pau FC;108;36;MAR;ST (C);Ligue 2 BKT
22069;Aïmen Moueffek;ASSE;110;22;MAR;DM, M (C);Ligue 2 BKT
22164;Nassim Chadli;Concarneau;104;21;MAR;AM (RL), ST (C);Ligue 2 BKT
22212;Mahmoud Bentayg;ASSE;96;23;MAR;D/WB (L);Ligue 2 BKT
22230;Abdelwahed Wahib;Concarneau;97;23;MAR;D/WB (L);Ligue 2 BKT
22240;Aïman Maurer;Dunkerque;101;18;MAR;AM (RLC);Ligue 2 BKT
22254;Ayoub Amraoui;Amiens SC;92;19;MAR;D/WB (L);Ligue 2 BKT
22256;Ayoub Jabbari;Paris FC;80;23;MAR;ST (C);Ligue 2 BKT
22264;Yacine El Amri;VAFC;85;18;MAR;M/AM (R);Ligue 2 BKT
22273;Ayman Ouhatti;Amiens SC;91;22;MAR;D (C), DM;Ligue 2 BKT
22277;Achraf Laaziri;Dunkerque;98;19;MAR;D/WB (L);Ligue 2 BKT
22310;Samy El Khiar;QRM;81;22;MAR;M/AM (C);Ligue 2 BKT
22392;Saad Filali;Troyes;68;15;MAR;D/WB (RL);Ligue 2 BKT
22431;Medhi Harfi;Bordeaux;70;18;MAR;ST (C);Ligue 2 BKT
22466;Nassim Aït Mouhou;VAFC;70;18;MAR;DM;Ligue 2 BKT
22537;Sofiane Tahri;Angers SCO;70;16;MAR;AM (R), ST (C);Ligue 2 BKT
21809;Alberth Elis;Bordeaux;125;27;HON;AM (RL), ST (C);Ligue 2 BKT
21884;Steven Fortes;QRM;110;31;CPV;D (C);Ligue 2 BKT
22068;Dylan Tavares;SC Bastia;108;26;CPV;D/WB/M (L);Ligue 2 BKT
21815;Henri Saivet;Pau FC;112;32;SEN;DM, M/AM (C);Ligue 2 BKT
21850;Bingourou Kamara;Pau FC;117;26;SEN;GK;Ligue 2 BKT
21891;Mamadou Diarra;Grenoble;113;25;SEN;D (C);Ligue 2 BKT
21919;Ibrahima Niane;Angers SCO;115;24;SEN;ST (C);Ligue 2 BKT
21927;Joseph Lopy;Angers SCO;114;31;SEN;DM, M (C);Ligue 2 BKT
21928;Lamine Guèye;Paris FC;112;25;SEN;AM (R), ST (C);Ligue 2 BKT
21953;Papa Ndiaga Yade;QRM;110;23;SEN;M/AM (RL);Ligue 2 BKT
21965;Arial Mendy;Grenoble;116;28;SEN;D (L);Ligue 2 BKT
22017;Meïssa Bâ;Grenoble;110;25;SEN;ST (C);Ligue 2 BKT
22023;Abdoulaye Ndiaye;Troyes;113;21;SEN;D (C);Ligue 2 BKT
22032;Ibrahima Wadji;ASSE;110;28;SEN;AM (RL), ST (C);Ligue 2 BKT
22047;Abdallah Ndour;EA Guingamp;108;29;SEN;D/WB (L);Ligue 2 BKT
22060;Donatien Gomis;EA Guingamp;115;28;SEN;D (C);Ligue 2 BKT
22066;Sambou Soumano;QRM;109;22;SEN;AM (C), ST (C);Ligue 2 BKT
22121;Assane Dioussé;AJ Auxerre;106;25;SEN;DM, M (C);Ligue 2 BKT
22159;Mouhamed Diop;Troyes;98;22;SEN;AM (C), ST (C);Ligue 2 BKT
22165;Amadou Sagna;EA Guingamp;109;24;SEN;AM (RL);Ligue 2 BKT
22169;Issa Soumaré;AJ Auxerre;116;22;SEN;AM (RL), ST (C);Ligue 2 BKT
22179;Moustapha Mbow;Paris FC;105;23;SEN;D (C);Ligue 2 BKT
22196;Ousmane Sakho;QRM;100;26;SEN;AM (RLC);Ligue 2 BKT
22199;Ibrahim Mandefu;EA Guingamp;75;22;SEN;AM (L), ST (C);Ligue 2 BKT
22245;Boubacar Fall;ASSE;92;22;SEN;GK;Ligue 2 BKT
22285;Mamadou Diop;Grenoble;90;23;SEN;GK;Ligue 2 BKT
22332;Ibrahima Sy;Dunkerque;76;20;SEN;M (C);Ligue 2 BKT
22366;Youssoupha Mangane;Grenoble;75;23;SEN;DM;Ligue 2 BKT
22408;Mouhamed N'Diaye;ASSE;68;17;SEN;M (C);Ligue 2 BKT
22304;Vladislav Molchan;SM Caen;80;22;RUS;D (C);Ligue 2 BKT
21970;Park Jung-Bin;Rodez AF;86;29;KOR;M (RL), AM (RLC);Ligue 2 BKT
22000;Louis Mafouta;Amiens SC;113;29;CTA;ST (C);Ligue 2 BKT
22228;Axel Urie;Concarneau;98;24;CTA;M/AM (RL);Ligue 2 BKT
21817;Zinedine Ferhat;Angers SCO;116;30;ALG;M/AM (RL);Ligue 2 BKT
21854;Himad Abdelli;Angers SCO;121;23;ALG;M/AM (C);Ligue 2 BKT
21872;Anthony Mandréa;SM Caen;118;26;ALG;GK;Ligue 2 BKT
21898;Ilan Kebbal;Paris FC;117;24;ALG;AM (RC);Ligue 2 BKT
21942;Mehdi Jeannin;Pau FC;106;32;ALG;GK;Ligue 2 BKT
22007;Ahmed Kashi;FC Annecy;106;34;ALG;DM, M (C);Ligue 2 BKT
22027;Aymen Boutoutaou;VAFC;109;22;ALG;AM (RC);Ligue 2 BKT
22051;Mehdi Tahrat;Troyes;113;33;ALG;D (C), DM;Ligue 2 BKT
22132;Farid El Melali;Angers SCO;115;25;ALG;M/AM (R);Ligue 2 BKT
22279;Yacine Gaya;Angers SCO;85;18;ALG;D (C);Ligue 2 BKT
22353;Nacim Gourmat;Grenoble;72;25;ALG;AM (C), ST (C);Ligue 2 BKT
22428;Zyed Beltaief;AC Ajaccio;68;17;ALG;M/AM (RL);Ligue 2 BKT
22433;Ilyes Kallouche;EA Guingamp;72;18;ALG;M (C);Ligue 2 BKT
22461;William Irnatene;QRM;70;17;ALG;DM, M (C);Ligue 2 BKT
22580;Chaouki Belkheir;Grenoble;65;17;ALG;ST (C);Ligue 2 BKT
22710;Adem Arous;AJ Auxerre;60;16;ALG;D (L);Ligue 2 BKT
22756;Elias Boualem;EA Guingamp;64;17;ALG;M/AM (C);Ligue 2 BKT
22761;Youcef Hamiche;VAFC;64;16;ALG;AM (L);Ligue 2 BKT
21816;Jean-Philippe Gbamin;Dunkerque;118;27;CIV;D (C), DM, M (C);Ligue 2 BKT
21852;Abdoulaye Bamba;Angers SCO;119;33;CIV;D (RC), WB (R);Ligue 2 BKT
21856;Yahia Fofana;Angers SCO;118;22;CIV;GK;Ligue 2 BKT
21899;Yves Dabila;Paris FC;110;26;CIV;D (C), DM;Ligue 2 BKT
21923;Armand Gnanduillet;Dunkerque;101;31;CIV;ST (C);Ligue 2 BKT
21926;Jonathan Kodjia;FC Annecy;110;33;CIV;ST (C);Ligue 2 BKT
21957;Stéphane Diarra;ASSE;117;24;CIV;M/AM (RL);Ligue 2 BKT
21997;Xavier Kouassi;Pau FC;110;33;CIV;D (C), DM;Ligue 2 BKT
22112;Moussa Guel;Dunkerque;97;24;CIV;AM (RLC);Ligue 2 BKT
22130;Junior Diaz;FC Annecy;103;19;CIV;D (C), DM;Ligue 2 BKT
22190;Ahmed Fofana;Amiens SC;84;23;CIV;D (C), ST (C);Ligue 2 BKT
22204;Abdoulaye Raslan Kanté;Troyes;93;17;CIV;DM, M (C);Ligue 2 BKT
22238;Mohamed Koné;Dunkerque;95;21;CIV;GK;Ligue 2 BKT
22296;Dieudonné Gaucho;SM Caen;85;22;CIV;D (C), DM;Ligue 2 BKT
22315;Armel Kouamé;QRM;78;22;CIV;DM, M (C);Ligue 2 BKT
22572;Issa Karakodio;SM Caen;65;17;CIV;GK;Ligue 2 BKT
22590;Landry N'Dri Guessan;Troyes;64;16;CIV;AM (L);Ligue 2 BKT
22707;Kôrô Ibrahim Soumahoro;QRM;60;17;CIV;DM;Ligue 2 BKT
22762;Sékou Traoré;QRM;60;16;CIV;AM (RL), ST (C);Ligue 2 BKT
21935;Efe Sarıkaya;Grenoble;90;17;TUR;D (C);Ligue 2 BKT
22052;Doğan Alemdar;Troyes;108;20;TUR;GK;Ligue 2 BKT
21810;Syam Ben Youssef;SM Caen;105;34;TUN;D (C);Ligue 2 BKT
21836;Yan Valery;Angers SCO;119;24;TUN;D (RC);Ligue 2 BKT
21908;Ali Abdi;SM Caen;120;29;TUN;D/WB (RL);Ligue 2 BKT
21920;Yoann Touzghar;AC Ajaccio;108;36;TUN;ST (C);Ligue 2 BKT
22041;Ayman Ben Mohamed;EA Guingamp;105;28;TUN;D/WB/M (L);Ligue 2 BKT
22144;Amin Cherni;Laval MFC;106;21;TUN;D/WB (L);Ligue 2 BKT
22642;Radouane Rmouki;AC Ajaccio;60;16;TUN;DM, M (C);Ligue 2 BKT
22022;Ousmane Kanté;Pau FC;108;33;GUI;D (C);Ligue 2 BKT
22109;Dembo Sylla;Rodez AF;107;20;GUI;D/WB/M (R);Ligue 2 BKT
22202;Facinet Conté;SC Bastia;97;18;GUI;ST (C);Ligue 2 BKT
22205;Elhadj Bah;Dunkerque;86;21;GUI;ST (C);Ligue 2 BKT
22226;Ousmane Camara;FC Annecy;93;21;GUI;ST (C);Ligue 2 BKT
22303;Karim Cissé;ASSE;80;18;GUI;AM (RLC);Ligue 2 BKT
22334;Madiou Keita;AJ Auxerre;78;18;GUI;D (C);Ligue 2 BKT
22364;Mouctar Cissé;QRM;72;29;GUI;D (C), DM;Ligue 2 BKT
22463;Florent Guilavogui;QRM;70;16;GUI;D (C);Ligue 2 BKT
22506;Mamadou Sidibé;Laval MFC;65;18;GUI;DM;Ligue 2 BKT
22760;Mamadou Diallo;QRM;60;16;GUI;AM (R);Ligue 2 BKT
22808;Souleymane Diané;Angers SCO;60;16;GUI;DM;Ligue 2 BKT
21832;Kalifa Coulibaly;QRM;110;31;MLI;ST (C);Ligue 2 BKT
21878;Mamadou Fofana;Amiens SC;118;25;MLI;D (C), DM;Ligue 2 BKT
21959;Charles Traoré;SC Bastia;108;31;MLI;D (L);Ligue 2 BKT
21968;Lassine Sinayoko;AJ Auxerre;120;23;MLI;AM (R), ST (C);Ligue 2 BKT
21976;Ibrahim Sissoko;ASSE;113;27;MLI;ST (C);Ligue 2 BKT
22011;Nouha Dicko;Paris FC;110;31;MLI;AM (R), ST (C);Ligue 2 BKT
22044;Kalidou Sidibé;EA Guingamp;110;24;MLI;DM, M (C);Ligue 2 BKT
22080;Siriné Doucouré;VAFC;105;21;MLI;AM (L), ST (C);Ligue 2 BKT
22083;Mamadou Samassa;Laval MFC;109;33;MLI;GK;Ligue 2 BKT
22103;Nadjib Cissé;QRM;100;22;MLI;D (RC);Ligue 2 BKT
22160;Issouf Sissokho;Bordeaux;110;21;MLI;M (C);Ligue 2 BKT
22195;Issiar Dramé;SC Bastia;98;24;MLI;D (C), DM;Ligue 2 BKT
22507;Namory Diarra;Laval MFC;64;17;MLI;M/AM (C);Ligue 2 BKT
